纬度,经度,每类所含任务个数
23.21907785,113.2309258,7
23.15891885,113.4022249,2
23.11487518,113.2841231,5
22.58555337,113.9012273,2
23.16523876,113.2386609,4
23.1733588,113.261012,4
23.1288414,113.409392,8
22.7469284,114.2743149,5
23.07432169,113.2843257,2
22.73490914,114.2837366,6
23.13384476,113.4407051,3
23.12245769,113.3359839,2
23.18559906,113.4272845,1
23.17196247,113.3533515,1
23.20438674,113.260813,4
22.73954085,114.2671625,2
23.10420069,113.3532167,1
23.19862257,113.2778023,5
23.10907036,113.2547014,1
23.09435495,113.3428299,3
23.19770157,113.2671808,6
23.09670285,113.3137691,8
23.11687362,113.3704405,4
23.12957033,113.386472,5
22.73770533,114.2920869,5
23.20093747,113.4058719,2
22.56494839,113.9145821,2
22.53835813,113.9256918,1
23.10651271,113.292605,5
23.07788263,113.2766374,2
23.11019087,113.329128,1
23.0699969,113.3277651,4
23.10854196,113.3092247,3
23.09768986,113.2740423,7
22.72493076,114.272603,7
23.1887533,113.2635629,3
23.207743,113.3871093,1
23.16465853,113.2680548,4
23.10562038,113.2703022,4
22.73533833,114.2768168,8
23.19680642,113.3386076,5
23.17425764,113.3307303,2
23.1536358,113.2383757,3
23.08907212,113.2878011,3
23.1758545,113.3986552,1
23.14939222,113.2257156,2
23.13637697,113.3700344,4
22.73376118,114.2604395,12
23.19837855,113.2732053,9
23.1263796,113.3510731,3
23.19175318,113.2584069,6
23.16625267,113.3244786,2
23.16934861,113.2762863,3
23.12142636,113.4052966,5
23.22634933,113.2364339,3
22.72563422,114.2997122,6
22.73363265,114.2388879,5
23.09074945,113.3192266,4
22.73031078,114.2669652,3
